task_id,choice,raw_output
1,B,B
2,B,B
3,B,B
4,B,B
5,B,B
6,B,B
7,B,B
8,B,B
9,B,B
10,B,B
11,B,B
12,B,B
13,B,B
14,B,B
15,B,B
16,B,B
17,B,B
18,B,B
19,B,B
20,B,B
21,B,B
22,B,B
23,B,B
24,B,B
25,B,B
26,B,B
27,B,B
28,B,B
29,B,B
30,B,B
31,B,B
32,B,B
33,B,B
34,B,B
35,B,B
36,B,B
37,B,B
38,B,B
39,B,B
40,B,B
41,B,B
42,B,B
43,B,B
44,B,B
45,B,B
46,B,B
47,B,B
48,B,B
49,B,B
50,B,B
51,B,B
52,B,B
53,B,B
54,B,B
55,B,B
56,B,B
57,B,B
58,B,B
59,B,B
60,B,B
61,B,B
62,B,B
63,B,B
64,B,B
65,B,B
66,B,B
67,B,B
68,B,B
69,B,B
70,B,B
71,B,B
72,B,B
73,B,B
74,B,B
75,B,B
76,B,B
77,B,B
78,B,B
79,B,B
80,B,B
81,B,B
82,B,B
83,B,B
84,B,B
85,B,B
86,B,B
87,B,B
88,B,B
89,B,B
90,B,B
91,B,B
92,B,B
93,B,B
94,B,B
95,B,B
96,B,B
97,B,B
98,B,B
99,B,B
100,B,B
101,B,B
102,B,B
103,B,B
104,B,B
105,B,B
106,B,B
107,B,B
108,B,B
109,B,B
110,B,B
111,A,A
112,B,B
113,B,B
114,B,B
115,B,B
116,B,B
117,B,B
118,B,B
119,B,B
120,B,B
121,B,B
122,B,B
123,B,B
124,B,B
125,B,B
126,A,A
127,B,B
128,B,B
129,B,B
130,B,B
131,B,B
132,B,B
133,B,B
134,B,B
135,B,B
136,B,B
137,B,B
138,B,B
139,B,B
140,B,B
141,B,B
142,B,B
143,B,B
144,B,B
145,B,B
146,B,B
147,B,B
148,B,B
149,B,B
150,B,B
151,B,B
152,B,B
153,B,B
154,B,B
155,B,B
156,B,B
157,B,B
158,B,B
159,B,B
160,B,B
161,B,B
162,B,B
163,B,B
164,B,B
165,A,A
166,A,A
167,B,B
168,A,A
169,B,B
170,B,B
171,A,A
172,B,B
173,B,B
174,B,B
175,B,B
176,A,A
177,B,B
178,B,B
179,B,B
180,B,B
181,B,B
182,B,B
183,B,B
184,B,B
185,B,B
186,A,A
187,A,A
188,B,B
189,B,B
190,B,B
191,B,B
192,B,B
193,B,B
194,B,B
195,B,B
196,B,B
197,B,B
198,B,B
199,B,B
200,B,B
201,B,B
202,B,B
203,A,A
204,B,B
205,B,B
206,B,B
207,B,B
208,B,B
209,B,B
210,B,B
211,B,B
212,B,B
213,B,B
214,B,B
215,B,B
216,B,B
217,B,B
218,B,B
219,B,B
220,B,B
221,A,A
222,B,B
223,B,B
224,A,A
225,B,B
226,A,A
227,B,B
228,B,B
229,B,B
230,B,B
231,B,B
232,B,B
233,B,B
234,B,B
235,B,B
236,B,B
237,B,B
238,B,B
239,A,A
240,A,A
241,B,B
242,B,B
243,B,B
244,B,B
245,B,B
246,B,B
247,B,B
248,B,B
249,B,B
250,B,B
251,B,B
252,B,B
253,B,B
254,B,B
255,B,B
256,A,A
257,B,B
258,B,B
259,B,B
260,B,B
261,B,B
262,B,B
263,B,B
264,B,B
265,B,B
266,B,B
267,B,B
268,B,B
269,B,B
270,A,A
271,B,B
272,B,B
273,B,B
274,B,B
275,B,B
276,B,B
277,B,B
278,B,B
279,B,B
280,B,B
281,B,B
282,A,A
283,B,B
284,B,B
285,B,B
286,B,B
287,B,B
288,B,B
289,B,B
290,B,B
291,B,B
292,B,B
293,B,B
294,B,B
295,B,B
296,B,B
297,B,B
298,B,B
299,B,B
300,B,B
301,B,B
302,B,B
303,B,B
304,B,B
305,B,B
306,B,B
307,B,B
308,B,B
309,B,B
310,B,B
311,B,B
312,B,B
313,B,B
314,B,B
315,B,B
316,B,B
317,B,B
318,B,B
319,B,B
320,B,B
321,B,B
322,B,B
323,B,B
324,B,B
325,B,B
326,B,B
327,B,B
328,B,B
329,B,B
330,B,B
331,B,B
332,B,B
333,B,B
334,B,B
335,B,B
336,A,A
337,A,A
338,A,A
339,A,A
340,A,A
341,B,B
342,B,B
343,B,B
344,B,B
345,B,B
346,B,B
347,B,B
348,B,B
349,B,B
350,B,B
351,B,B
352,B,B
353,B,B
354,B,B
355,B,B
356,B,B
357,B,B
358,B,B
359,B,B
360,B,B
361,B,B
362,B,B
363,B,B
364,B,B
365,A,A
366,B,B
367,B,B
368,B,B
369,A,A
370,A,A
371,A,A
372,A,A
373,B,B
374,B,B
375,B,B
376,B,B
377,B,B
378,B,B
379,B,B
380,B,B
381,B,B
382,B,B
383,B,B
384,B,B
385,B,B
386,B,B
387,B,B
388,B,B
389,B,B
390,B,B
391,B,B
392,B,B
393,B,B
394,A,A
395,A,A
396,B,B
397,B,B
398,A,A
399,A,A
400,A,A
401,B,B
402,A,A
403,B,B
404,A,A
405,B,B
406,B,B
407,B,B
408,B,B
409,B,B
410,B,B
411,B,B
412,B,B
413,B,B
414,B,B
415,B,B
416,B,B
417,B,B
418,B,B
419,B,B
420,B,B
421,B,B
422,B,B
423,B,B
424,A,A
425,B,B
426,B,B
427,B,B
428,B,B
429,B,B
430,B,B
431,B,B
432,B,B
433,B,B
434,B,B
435,B,B
436,B,B
437,B,B
438,B,B
439,B,B
440,B,B
441,B,B
442,B,B
443,A,A
444,B,B
445,B,B
446,B,B
447,B,B
448,B,B
449,B,B
450,A,A
451,B,B
452,B,B
453,B,B
454,B,B
455,B,B
456,B,B
457,B,B
458,B,B
459,A,A
460,B,B
461,B,B
462,A,A
463,B,B
464,B,B
465,A,A
466,B,B
467,A,A
468,B,B
469,B,B
470,B,B
471,B,B
472,B,B
473,A,A
474,B,B
475,B,B
476,A,A
477,B,B
478,B,B
479,B,B
480,B,B
481,B,B
482,B,B
483,B,B
484,B,B
485,B,B
486,B,B
487,B,B
488,A,A
489,B,B
490,B,B
491,B,B
492,B,B
493,A,A
494,A,A
495,B,B
496,A,A
497,B,B
498,B,B
499,B,B
500,B,B
501,A,A
502,A,A
503,B,B
504,A,A
505,B,B
506,A,A
507,B,B
508,B,B
509,B,B
510,B,B
511,B,B
512,B,B
513,B,B
514,B,B
515,B,B
516,B,B
517,B,B
518,B,B
519,B,B
520,B,B
521,A,A
522,B,B
523,B,B
524,A,A
525,B,B
526,B,B
527,B,B
528,B,B
529,B,B
530,B,B
531,B,B
532,B,B
533,B,B
534,B,B
535,B,B
536,B,B
537,B,B
538,A,A
539,B,B
540,B,B
541,B,B
542,B,B
543,B,B
544,B,B
545,B,B
546,A,A
547,A,A
548,B,B
549,B,B
550,B,B
551,B,B
552,B,B
553,B,B
554,A,A
555,A,A
556,B,B
557,A,A
558,A,A
559,B,B
560,B,B
561,A,A
562,A,A
563,A,A
564,B,B
565,A,A
566,A,A
567,B,B
568,A,A
569,A,A
570,A,A
571,A,A
572,A,A
573,A,A
574,A,A
575,A,A
576,A,A
577,A,A
578,A,A
579,A,A
580,A,A
581,B,B
582,B,B
583,B,B
584,B,B
585,B,B
586,A,A
587,B,B
588,B,B
589,B,B
590,B,B
591,B,B
592,B,B
593,B,B
594,B,B
595,B,B
596,B,B
597,B,B
598,B,B
599,B,B
600,A,A
601,B,B
602,B,B
603,B,B
604,B,B
605,B,B
606,A,A
607,A,A
608,B,B
609,A,A
610,B,B
611,A,A
612,B,B
613,A,A
614,B,B
615,B,B
616,B,B
617,B,B
618,B,B
619,B,B
620,B,B
621,B,B
622,B,B
623,B,B
624,B,B
625,B,B
626,B,B
627,B,B
628,B,B
629,A,A
630,A,A
631,A,A
632,B,B
633,B,B
634,B,B
635,B,B
636,B,B
637,A,A
638,B,B
639,B,B
640,B,B
641,A,A
642,B,B
643,A,A
644,B,B
645,A,A
646,B,B
647,B,B
648,B,B
649,A,A
650,A,A
651,A,A
652,B,B
653,A,A
654,A,A
655,A,A
656,A,A
657,B,B
658,B,B
659,B,B
660,B,B
661,B,B
662,B,B
663,B,B
664,B,B
665,B,B
666,B,B
667,B,B
668,B,B
669,B,B
670,B,B
671,B,B
672,B,B
673,B,B
674,A,A
675,A,A
676,A,A
677,B,B
678,B,B
679,B,B
680,A,A
681,B,B
682,B,B
683,A,A
684,B,B
685,B,B
686,B,B
687,B,B
688,B,B
689,B,B
690,B,B
691,B,B
692,B,B
693,B,B
694,A,A
695,B,B
696,A,A
697,B,B
698,B,B
699,B,B
700,A,A
701,B,B
702,B,B
703,B,B
704,B,B
705,A,A
706,A,A
707,B,B
708,A,A
709,A,A
710,A,A
711,A,A
712,A,A
713,B,B
714,B,B
715,B,B
716,A,A
717,B,B
718,B,B
719,B,B
720,B,B
721,B,B
722,B,B
723,B,B
724,B,B
725,B,B
726,B,B
727,B,B
728,B,B
729,A,A
730,B,B
731,B,B
732,A,A
733,A,A
734,A,A
735,A,A
736,B,B
737,A,A
738,B,B
739,A,A
740,B,B
741,B,B
742,B,B
743,B,B
744,B,B
745,B,B
746,B,B
747,B,B
748,B,B
749,B,B
750,B,B
751,B,B
752,B,B
753,B,B
754,B,B
755,B,B
756,B,B
757,B,B
758,B,B
759,B,B
760,B,B
761,B,B
762,B,B
763,A,A
764,A,A
765,A,A
766,A,A
767,A,A
768,A,A
769,B,B
770,A,A
771,B,B
772,B,B
773,B,B
774,B,B
775,B,B
776,B,B
777,B,B
778,B,B
779,B,B
780,B,B
781,B,B
782,A,A
783,A,A
784,B,B
785,B,B
786,B,B
787,B,B
788,B,B
789,A,A
790,A,A
791,A,A
792,A,A
793,B,B
794,A,A
795,A,A
796,A,A
797,B,B
798,A,A
799,A,A
800,A,A
801,B,B
802,B,B
803,A,A
804,B,B
805,A,A
806,A,A
807,A,A
808,B,B
809,A,A
810,A,A
811,B,B
812,A,A
813,B,B
814,B,B
815,B,B
816,B,B
817,B,B
818,B,B
819,B,B
820,B,B
821,B,B
822,B,B
823,B,B
824,B,B
825,B,B
826,B,B
827,B,B
828,B,B
829,B,B
830,A,A
831,B,B
832,B,B
833,B,B
834,A,A
835,B,B
836,A,A
837,A,A
838,B,B
839,A,A
840,A,A
841,A,A
842,A,A
843,A,A
844,A,A
845,B,B
846,B,B
847,A,A
848,A,A
849,A,A
850,A,A
851,B,B
852,A,A
853,B,B
