task_id,choice,raw_output
10001,B,A
10002,A,B
10003,B,A
10004,B,A
10005,B,A
10006,B,A
10007,B,A
10008,B,A
10009,B,A
10010,B,A
10011,A,B
10012,B,A
10013,B,A
10014,B,A
10015,B,A
10016,B,A
10017,B,A
10018,B,A
10019,B,A
10020,B,A
10021,B,A
10022,B,A
10023,B,A
10024,B,A
10025,B,A
10026,B,A
10027,A,B
10028,B,A
10029,B,A
10030,A,B
10031,A,B
10032,A,B
10033,B,A
10034,B,A
10035,B,A
10036,B,A
10037,B,A
10038,B,A
10039,B,A
10040,B,A
10041,B,A
10042,B,A
10043,B,A
10044,B,A
10045,B,A
10046,B,A
10047,B,A
10048,B,A
10049,B,A
10050,A,B
10051,B,A
10052,A,B
10053,B,A
10054,B,A
10055,B,A
10056,B,A
10057,B,A
10058,B,A
10059,B,A
10060,B,A
10061,B,A
10062,B,A
10063,B,A
10064,B,A
10065,B,A
10066,B,A
10067,B,A
10068,B,A
10069,B,A
10070,B,A
10071,B,A
10072,A,B
10073,B,A
10074,A,B
10075,A,B
10076,A,B
10077,B,A
10078,B,A
10079,B,A
10080,B,A
10081,B,A
10082,A,B
10083,B,A
10084,B,A
10085,B,A
10086,A,B
10087,B,A
10088,A,B
10089,B,A
10090,B,A
10091,B,A
10092,B,A
10093,B,A
10094,B,A
10095,B,A
10096,B,A
10097,B,A
10098,B,A
10099,B,A
10100,B,A
10101,B,A
10102,B,A
10103,B,A
10104,B,A
10105,A,B
10106,B,A
10107,B,A
10108,B,A
10109,A,B
10110,A,B
10111,A,B
10112,A,B
10113,A,B
10114,A,B
10115,A,B
10116,A,B
10117,B,A
10118,A,B
10119,A,B
10120,A,B
10121,B,A
10122,B,A
10123,A,B
10124,A,B
10125,A,B
10126,A,B
10127,A,B
10128,A,B
10129,A,B
10130,B,A
10131,A,B
10132,B,A
10133,B,A
10134,B,A
10135,B,A
10136,B,A
10137,B,A
10138,B,A
10139,B,A
10140,A,B
10141,A,B
10142,A,B
10143,A,B
10144,B,A
10145,B,A
10146,B,A
10147,B,A
10148,A,B
10149,B,A
10150,A,B
10151,B,A
10152,A,B
10153,B,A
10154,B,A
10155,B,A
10156,A,B
10157,A,B
10158,A,B
10159,B,A
10160,A,B
10161,A,B
10162,A,B
10163,B,A
10164,A,B
10165,A,B
10166,A,B
10167,A,B
10168,A,B
10169,A,B
10170,B,A
10171,A,B
10172,B,A
10173,A,B
10174,B,A
10175,B,A
10176,A,B
10177,A,B
10178,B,A
10179,A,B
10180,A,B
10181,A,B
10182,A,B
10183,A,B
10184,A,B
10185,A,B
10186,A,B
10187,A,B
10188,A,B
10189,A,B
10190,A,B
10191,A,B
10192,B,A
10193,B,A
10194,A,B
10195,B,A
10196,A,B
10197,B,A
10198,A,B
10199,B,A
10200,B,A
10201,A,B
10202,B,A
10203,A,B
10204,A,B
10205,A,B
10206,A,B
10207,A,B
10208,A,B
10209,A,B
10210,A,B
10211,A,B
10212,A,B
10213,A,B
10214,A,B
10215,B,A
10216,B,A
10217,A,B
10218,A,B
10219,A,B
10220,A,B
10221,A,B
10222,A,B
10223,A,B
10224,A,B
10225,B,A
10226,A,B
10227,A,B
10228,B,A
10229,A,B
10230,A,B
10231,A,B
10232,B,A
10233,A,B
10234,A,B
10235,A,B
10236,A,B
10237,A,B
10238,A,B
10239,A,B
10240,A,B
10241,A,B
10242,A,B
10243,B,A
10244,A,B
10245,A,B
10246,A,B
10247,A,B
10248,A,B
10249,B,A
10250,B,A
10251,B,A
10252,B,A
10253,A,B
10254,B,A
10255,A,B
10256,A,B
10257,B,A
10258,B,A
10259,B,A
10260,B,A
10261,B,A
10262,B,A
10263,B,A
10264,B,A
10265,B,A
10266,A,B
10267,A,B
10268,A,B
10269,B,A
10270,A,B
10271,A,B
10272,B,A
10273,B,A
10274,B,A
10275,A,B
10276,B,A
10277,A,B
10278,A,B
10279,A,B
10280,A,B
10281,A,B
10282,A,B
10283,A,B
10284,A,B
10285,A,B
10286,A,B
10287,A,B
10288,A,B
10289,A,B
10290,A,B
10291,A,B
10292,A,B
10293,B,A
10294,B,A
10295,B,A
10296,B,A
10297,A,B
10298,A,B
10299,B,A
10300,B,A
10301,B,A
10302,B,A
10303,A,B
10304,A,B
10305,B,A
10306,B,A
10307,B,A
10308,B,A
10309,B,A
10310,B,A
10311,A,B
10312,A,B
10313,A,B
10314,A,B
10315,A,B
10316,A,B
10317,B,A
10318,A,B
10319,B,A
10320,A,B
10321,A,B
10322,A,B
10323,A,B
10324,A,B
10325,A,B
10326,A,B
10327,A,B
10328,B,A
10329,A,B
10330,A,B
10331,A,B
10332,B,A
10333,A,B
10334,A,B
10335,B,A
10336,A,B
10337,A,B
10338,A,B
10339,A,B
10340,A,B
10341,B,A
10342,B,A
10343,B,A
10344,B,A
10345,A,B
10346,A,B
10347,B,A
10348,B,A
10349,A,B
10350,B,A
10351,A,B
10352,A,B
10353,A,B
10354,A,B
10355,A,B
10356,A,B
10357,A,B
10358,A,B
10359,B,A
10360,A,B
10361,B,A
10362,B,A
10363,B,A
10364,B,A
10365,A,B
10366,A,B
10367,A,B
10368,A,B
10369,A,B
10370,A,B
10371,A,B
10372,A,B
10373,B,A
10374,B,A
10375,B,A
10376,B,A
10377,A,B
10378,B,A
10379,B,A
10380,B,A
10381,A,B
10382,B,A
10383,B,A
10384,A,B
10385,A,B
10386,A,B
10387,A,B
10388,A,B
10389,A,B
10390,A,B
10391,A,B
10392,A,B
10393,A,B
10394,A,B
10395,A,B
10396,A,B
10397,A,B
10398,A,B
10399,A,B
10400,A,B
10401,A,B
10402,A,B
10403,A,B
10404,A,B
10405,A,B
10406,A,B
10407,A,B
10408,A,B
10409,A,B
10410,A,B
10411,B,A
10412,A,B
10413,B,A
10414,B,A
10415,B,A
10416,A,B
10417,A,B
10418,A,B
10419,A,B
10420,A,B
10421,A,B
10422,B,A
10423,B,A
10424,A,B
10425,B,A
10426,B,A
10427,B,A
10428,B,A
10429,B,A
10430,A,B
10431,B,A
10432,B,A
10433,B,A
10434,B,A
10435,B,A
10436,B,A
10437,B,A
10438,A,B
10439,A,B
10440,B,A
10441,B,A
10442,B,A
10443,A,B
10444,B,A
10445,B,A
10446,A,B
10447,B,A
10448,B,A
10449,B,A
10450,A,B
10451,B,A
10452,B,A
10453,B,A
10454,B,A
10455,B,A
10456,A,B
10457,A,B
10458,A,B
10459,A,B
10460,A,B
10461,B,A
10462,A,B
10463,B,A
10464,B,A
10465,A,B
10466,A,B
10467,A,B
10468,B,A
10469,A,B
10470,A,B
10471,A,B
10472,A,B
10473,A,B
10474,A,B
10475,A,B
10476,A,B
10477,A,B
10478,A,B
10479,A,B
10480,A,B
10481,B,A
10482,A,B
10483,B,A
10484,A,B
10485,B,A
10486,A,B
10487,B,A
10488,A,B
10489,B,A
10490,A,B
10491,B,A
10492,B,A
10493,A,B
10494,A,B
10495,A,B
10496,A,B
10497,A,B
10498,A,B
10499,A,B
10500,A,B
10501,A,B
10502,A,B
10503,A,B
10504,A,B
10505,A,B
10506,A,B
10507,B,A
10508,A,B
10509,A,B
10510,A,B
10511,A,B
10512,A,B
10513,A,B
10514,A,B
10515,A,B
10516,A,B
10517,A,B
10518,A,B
10519,A,B
10520,A,B
10521,A,B
10522,A,B
10523,A,B
10524,A,B
10525,B,A
10526,B,A
10527,B,A
10528,B,A
10529,B,A
10530,B,A
10531,B,A
10532,B,A
10533,B,A
10534,B,A
10535,B,A
10536,B,A
10537,B,A
10538,B,A
10539,B,A
10540,B,A
10541,B,A
10542,B,A
10543,B,A
10544,B,A
10545,B,A
10546,A,B
10547,A,B
10548,B,A
10549,A,B
10550,A,B
10551,A,B
10552,B,A
10553,B,A
10554,A,B
10555,B,A
10556,B,A
10557,A,B
10558,A,B
10559,A,B
10560,A,B
10561,A,B
10562,A,B
10563,A,B
10564,A,B
10565,A,B
10566,A,B
10567,A,B
10568,A,B
10569,A,B
10570,A,B
10571,A,B
10572,A,B
10573,A,B
10574,A,B
10575,A,B
10576,A,B
10577,A,B
10578,A,B
10579,A,B
10580,A,B
10581,A,B
10582,A,B
10583,A,B
10584,A,B
10585,B,A
10586,A,B
10587,B,A
10588,B,A
10589,A,B
10590,A,B
10591,B,A
10592,B,A
10593,A,B
10594,A,B
10595,A,B
10596,A,B
10597,B,A
10598,B,A
10599,B,A
10600,A,B
10601,A,B
10602,A,B
10603,A,B
10604,A,B
10605,B,A
10606,A,B
10607,A,B
10608,A,B
10609,A,B
10610,A,B
10611,A,B
10612,A,B
10613,A,B
10614,A,B
10615,A,B
10616,B,A
10617,B,A
10618,A,B
10619,A,B
10620,A,B
10621,B,A
10622,A,B
10623,B,A
10624,B,A
10625,B,A
10626,A,B
10627,A,B
10628,A,B
10629,A,B
10630,A,B
10631,A,B
10632,A,B
10633,B,A
10634,B,A
10635,A,B
10636,A,B
10637,B,A
10638,A,B
10639,B,A
10640,A,B
10641,A,B
10642,A,B
10643,A,B
10644,A,B
10645,A,B
10646,A,B
10647,A,B
10648,A,B
10649,A,B
10650,A,B
10651,A,B
10652,A,B
10653,A,B
10654,A,B
10655,A,B
10656,B,A
10657,A,B
10658,B,A
10659,A,B
10660,B,A
10661,B,A
10662,A,B
10663,A,B
10664,A,B
10665,A,B
10666,B,A
10667,B,A
10668,B,A
10669,B,A
10670,B,A
10671,B,A
10672,B,A
10673,B,A
10674,A,B
10675,B,A
10676,A,B
10677,A,B
10678,A,B
10679,A,B
10680,A,B
10681,A,B
10682,A,B
10683,A,B
10684,A,B
10685,A,B
10686,A,B
10687,A,B
10688,A,B
10689,B,A
10690,A,B
10691,A,B
10692,A,B
10693,A,B
10694,A,B
10695,A,B
10696,A,B
10697,A,B
10698,A,B
10699,A,B
10700,A,B
10701,A,B
10702,A,B
10703,A,B
10704,A,B
10705,A,B
10706,A,B
10707,A,B
10708,A,B
10709,B,A
10710,A,B
10711,A,B
10712,A,B
10713,A,B
10714,A,B
10715,B,A
10716,A,B
10717,B,A
10718,A,B
10719,A,B
10720,B,A
10721,A,B
10722,A,B
10723,A,B
10724,A,B
10725,A,B
10726,A,B
10727,A,B
10728,B,A
10729,A,B
10730,B,A
10731,B,A
10732,B,A
10733,A,B
10734,A,B
10735,A,B
10736,A,B
10737,A,B
10738,A,B
10739,A,B
10740,A,B
10741,A,B
10742,A,B
10743,A,B
10744,A,B
10745,A,B
10746,A,B
10747,A,B
10748,B,A
10749,A,B
10750,B,A
10751,A,B
10752,A,B
10753,B,A
10754,A,B
10755,A,B
10756,A,B
10757,A,B
10758,A,B
10759,A,B
10760,A,B
10761,A,B
10762,A,B
10763,A,B
10764,A,B
10765,A,B
10766,A,B
10767,A,B
10768,A,B
10769,B,A
10770,A,B
10771,B,A
10772,B,A
10773,A,B
10774,A,B
10775,A,B
10776,A,B
10777,B,A
10778,A,B
10779,B,A
10780,A,B
10781,A,B
10782,A,B
10783,A,B
10784,A,B
10785,A,B
10786,B,A
10787,A,B
10788,A,B
10789,B,A
10790,A,B
10791,A,B
10792,A,B
10793,A,B
10794,A,B
10795,A,B
10796,A,B
10797,A,B
10798,A,B
10799,A,B
10800,A,B
10801,B,A
10802,A,B
10803,B,A
10804,B,A
10805,A,B
10806,A,B
10807,A,B
10808,A,B
10809,A,B
10810,B,A
10811,B,A
10812,A,B
10813,B,A
10814,B,A
10815,B,A
10816,B,A
10817,A,B
10818,A,B
10819,A,B
10820,B,A
10821,A,B
10822,A,B
10823,B,A
10824,A,B
10825,B,A
10826,B,A
10827,B,A
10828,B,A
10829,B,A
10830,B,A
10831,A,B
10832,B,A
10833,B,A
10834,B,A
10835,B,A
10836,B,A
10837,A,B
10838,B,A
10839,A,B
10840,B,A
10841,A,B
10842,A,B
10843,A,B
10844,A,B
10845,B,A
