model,coef,p_raw,paper_claimed,p_bonferroni,p_bh,sig_raw_05,sig_bonferroni_05,sig_bh_05
Qwen3 8B,b_logp,3.2083796998293487e-12,True,5.903418647686001e-10,5.3183951780954965e-12,True,True,True
Qwen3 8B,b_linp,4.295624509635195e-06,False,0.0007903949097728759,6.223581966715558e-06,True,True,True
Qwen3 8B,b_d_stars,7.478347498040466e-05,False,0.013760159396394458,0.00010268775668951088,True,True,True
Qwen3 8B,b_d_bed,0.6445656275127676,False,1.0,0.6662925587772429,False,False,False
Qwen3 8B,b_d_cancel,1.0568784943543232e-11,False,1.9446564296119545e-09,1.720934893461907e-11,True,True,True
Qwen3 8B,b_d_breakfast,4.6015033217092856e-08,False,8.466766111945086e-06,7.055638426620905e-08,True,True,True
Qwen3 8B,b_d_review_score,9.72047574671911e-17,True,1.7885675373963162e-14,1.753497585682663e-16,True,True,True
Qwen3 8B,b_d_review_count_100,0.0117675850369692,False,1.0,0.014830381142481733,True,False,True
DeepSeek-R1 1.5B,b_logp,1.0027762469098589e-32,False,1.8451082943141404e-30,2.365523454248898e-32,True,True,True
DeepSeek-R1 1.5B,b_linp,1.403033387243821e-15,False,2.5815814325286306e-13,2.482289838969837e-15,True,True,True
DeepSeek-R1 1.5B,b_d_stars,1.036600769827531e-28,False,1.907345416482657e-26,2.3547474277563667e-28,True,True,True
DeepSeek-R1 1.5B,b_d_bed,0.402209620196606,False,1.0,0.42778364229003185,False,False,False
DeepSeek-R1 1.5B,b_d_cancel,0.2232570105437261,False,1.0,0.24451958297646192,False,False,False
DeepSeek-R1 1.5B,b_d_breakfast,7.424622497988958e-05,False,0.013661305396299683,0.00010268775668951088,True,True,True
DeepSeek-R1 1.5B,b_d_review_score,0.7963050633368014,False,1.0,0.8095034898009472,False,False,False
DeepSeek-R1 1.5B,b_d_review_count_100,0.4587298382353263,False,1.0,0.4823216584874288,False,False,False
Qwen3 4B,b_logp,3.611316730873808e-64,True,6.644822784807807e-62,1.3289645569615614e-63,True,True,True
Qwen3 4B,b_linp,8.92065959025031e-26,False,1.641401364606057e-23,1.865228823415974e-25,True,True,True
Qwen3 4B,b_d_stars,0.0072059284118544,False,1.0,0.00914407467435317,True,False,True
Qwen3 4B,b_d_bed,0.0419259449040284,False,1.0,0.04977015395058856,True,False,True
Qwen3 4B,b_d_cancel,1.9615623057330896e-18,False,3.6092746425488848e-16,3.6829333087233514e-18,True,True,True
Qwen3 4B,b_d_breakfast,9.122624914355256e-24,False,1.6785629842413671e-21,1.8650699824904077e-23,True,True,True
Qwen3 4B,b_d_review_score,3.68706017262601e-27,True,6.784190717631858e-25,7.888593857711462e-27,True,True,True
Qwen3 4B,b_d_review_count_100,0.6530904279053377,False,1.0,0.6713331772881683,False,False,False
Qwen3 30B-A3B,b_logp,7.728319268388949e-07,True,0.00014220107453835666,1.1376085963068533e-06,True,True,True
Qwen3 30B-A3B,b_linp,0.0159737424476075,False,1.0,0.019994344288161766,True,False,True
Qwen3 30B-A3B,b_d_stars,1.2637516544837986e-07,False,2.3253030442501895e-05,1.9059861018444178e-07,True,True,True
Qwen3 30B-A3B,b_d_bed,0.5092405607590622,False,1.0,0.5293800179642228,False,False,False
Qwen3 30B-A3B,b_d_cancel,1.4255944938273671e-27,False,2.6230938686423557e-25,3.0859927866380655e-27,True,True,True
Qwen3 30B-A3B,b_d_breakfast,1.1373301864978646e-14,False,2.092687543156071e-12,1.9557827506131504e-14,True,True,True
Qwen3 30B-A3B,b_d_review_score,9.761130738351135e-29,True,1.7960480558566087e-26,2.245060069820761e-28,True,True,True
Qwen3 30B-A3B,b_d_review_count_100,0.3990466368473848,False,1.0,0.4268870998832488,False,False,False
Phi-2 2.7B,b_logp,0.4109439356777191,False,1.0,0.4345614032454041,False,False,False
Phi-2 2.7B,b_linp,0.0359418246827884,False,1.0,0.04336140511951265,True,False,True
Phi-2 2.7B,b_d_stars,0.1422251319313169,False,1.0,0.15956966021562383,False,False,False
Phi-2 2.7B,b_d_bed,0.0812893750018896,False,1.0,0.09466610759713724,False,False,False
Phi-2 2.7B,b_d_cancel,0.4872940834548095,False,1.0,0.5094438145209372,False,False,False
Phi-2 2.7B,b_d_breakfast,0.3098194013973958,False,1.0,0.33533394033600483,False,False,False
Phi-2 2.7B,b_d_review_score,0.1464203395592091,False,1.0,0.16328086350845136,False,False,False
Phi-2 2.7B,b_d_review_count_100,0.0866431422531957,False,1.0,0.10026627782759755,False,False,False
DeepSeek-R1 7B,b_logp,2.8641670516728863e-15,True,5.270067375078111e-13,4.971761674601991e-15,True,True,True
DeepSeek-R1 7B,b_linp,1.2156245640636512e-14,False,2.236749197877118e-12,2.0710640721084427e-14,True,True,True
DeepSeek-R1 7B,b_d_stars,1.4347565646596136e-28,False,2.639952078973689e-26,3.2194537548459623e-28,True,True,True
DeepSeek-R1 7B,b_d_bed,0.1647915598856412,False,1.0,0.18156674861651484,False,False,False
DeepSeek-R1 7B,b_d_cancel,2.5558127227292687e-10,False,4.7026954098218546e-08,4.0540477670878055e-10,True,True,True
DeepSeek-R1 7B,b_d_breakfast,1.4318064395792637e-25,False,2.6345238488258453e-23,2.960139155984096e-25,True,True,True
DeepSeek-R1 7B,b_d_review_score,1.572984134015279e-31,True,2.8942908065881137e-29,3.663659248845713e-31,True,True,True
DeepSeek-R1 7B,b_d_review_count_100,0.0001226154267498,False,0.022561238521963203,0.00016468057315301607,True,True,True
Phi-3 Mini,b_logp,3.4138559008082775e-07,True,6.281494857487231e-05,5.065721659263895e-07,True,True,True
Phi-3 Mini,b_linp,4.135905802015059e-05,False,0.007610066675707708,5.853897442852083e-05,True,True,True
Phi-3 Mini,b_d_stars,3.1427729853277166e-34,False,5.782702293002999e-32,7.710269724003998e-34,True,True,True
Phi-3 Mini,b_d_bed,0.8364780297989106,False,1.0,0.8410489479945331,False,False,False
Phi-3 Mini,b_d_cancel,1.1748536704207502e-61,False,2.1617307535741804e-59,4.157174526104193e-61,True,True,True
Phi-3 Mini,b_d_breakfast,3.982090873462423e-54,False,7.327047207170859e-52,1.2854468784510278e-53,True,True,True
Phi-3 Mini,b_d_review_score,7.085051674934509e-44,True,1.3036495081879498e-41,1.889347113315869e-43,True,True,True
Phi-3 Mini,b_d_review_count_100,0.15537462088618,False,1.0,0.1722224713437176,False,False,False
Claude Haiku 4.5,b_logp,1.4191331437339665e-167,True,2.6112049844704983e-165,2.6112049844704983e-165,True,True,True
Claude Haiku 4.5,b_linp,2.1479875403244298e-147,False,3.9522970741969506e-145,5.646138677424215e-146,True,True,True
Claude Haiku 4.5,b_d_stars,8.815347031459249e-69,False,1.6220238537885018e-66,3.451114582528727e-68,True,True,True
Claude Haiku 4.5,b_d_bed,0.0266797447696208,False,1.0,0.032727153584068185,True,False,True
Claude Haiku 4.5,b_d_cancel,9.023072038866871e-73,False,1.6602452551515042e-70,3.689433900336676e-72,True,True,True
Claude Haiku 4.5,b_d_breakfast,3.722615379910701e-83,False,6.84961229903569e-81,1.9026700830654694e-82,True,True,True
Claude Haiku 4.5,b_d_review_score,1.1575828167052444e-97,True,2.1299523827376498e-95,7.344663388750516e-97,True,True,True
Claude Haiku 4.5,b_d_review_count_100,1.0179550168385361e-13,False,1.8730372309829065e-11,1.718382780718263e-13,True,True,True
Gemma3 1B,b_logp,0.0927502487258355,False,1.0,0.10666278603471083,False,False,False
Gemma3 1B,b_linp,0.931966974817388,False,1.0,0.931966974817388,False,False,False
Gemma3 1B,b_d_stars,0.0060231405492156,False,1.0,0.007804632824335707,True,False,True
Gemma3 1B,b_d_bed,0.6717008395564084,False,1.0,0.6866275248798841,False,False,False
Gemma3 1B,b_d_cancel,0.037920456421878,False,1.0,0.04530755832224385,True,False,True
Gemma3 1B,b_d_breakfast,3.117911491355971e-06,False,0.0005736957144094986,4.553140590551576e-06,True,True,True
Gemma3 1B,b_d_review_score,0.0021916103351882,False,0.40325630167462884,0.0028804021548187774,True,False,True
Gemma3 1B,b_d_review_count_100,0.8311757599497134,False,1.0,0.8403095595096004,False,False,False
GPT-5.4 Nano,b_logp,9.078198914059868e-68,True,1.6703886001870157e-65,3.479976250389616e-67,True,True,True
GPT-5.4 Nano,b_linp,1.0801571927598831e-76,False,1.987489234678185e-74,4.847534718727281e-76,True,True,True
GPT-5.4 Nano,b_d_stars,1.9980713132670143e-05,False,0.0036764512164113063,2.8499621832645786e-05,True,True,True
GPT-5.4 Nano,b_d_bed,0.006297909614435,False,1.0,0.008047328951778055,True,False,True
GPT-5.4 Nano,b_d_cancel,2.9740338501034324e-135,False,5.472222284190316e-133,3.4201389276189473e-134,True,True,True
GPT-5.4 Nano,b_d_breakfast,6.305652950177389e-101,False,1.1602401428326396e-98,4.297185714194961e-100,True,True,True
GPT-5.4 Nano,b_d_review_score,6.690373509157649e-141,True,1.2310287256850075e-138,1.025857271404173e-139,True,True,True
GPT-5.4 Nano,b_d_review_count_100,0.0001186260818971,False,0.0218271990690664,0.00016049411080195882,True,True,True
GPT-5.4,b_logp,9.281162539047015e-157,True,1.707733907184651e-154,5.692446357282169e-155,True,True,True
GPT-5.4,b_linp,3.085827570788585e-132,False,5.677922730250996e-130,3.3399545472064687e-131,True,True,True
GPT-5.4,b_d_stars,1.4578773140117571e-22,False,2.682494257781633e-20,2.853717295512375e-22,True,True,True
GPT-5.4,b_d_bed,2.4280761360170293e-09,False,4.467660090271334e-07,3.818512897667807e-09,True,True,True
GPT-5.4,b_d_cancel,5.138525895860707e-81,False,9.4548876483837e-79,2.4881283285220262e-80,True,True,True
GPT-5.4,b_d_breakfast,1.3197131829861292e-53,False,2.4282722566944777e-51,4.186676304645651e-53,True,True,True
GPT-5.4,b_d_review_score,1.3940902322312773e-85,True,2.5651260273055502e-83,7.544488315604561e-85,True,True,True
GPT-5.4,b_d_review_count_100,1.926326274464419e-15,False,3.5444403450145307e-13,3.3756574714424102e-15,True,True,True
GPT-5.4 Mini,b_logp,5.202837466508778e-153,True,9.57322093837615e-151,1.9146441876752303e-151,True,True,True
GPT-5.4 Mini,b_linp,1.6166102300462023e-139,False,2.9745628232850124e-137,2.288125248680779e-138,True,True,True
GPT-5.4 Mini,b_d_stars,1.142254134226452e-18,False,2.1017476069766716e-16,2.1667501102852286e-18,True,True,True
GPT-5.4 Mini,b_d_bed,9.081332070587872e-06,False,0.0016709651009881683,1.3054414851470067e-05,True,True,True
GPT-5.4 Mini,b_d_cancel,5.261247319711033e-85,False,9.6806950682683e-83,2.7659128766480857e-84,True,True,True
GPT-5.4 Mini,b_d_breakfast,1.2132822714611039e-42,False,2.232439379488431e-40,3.0581361362855225e-42,True,True,True
GPT-5.4 Mini,b_d_review_score,5.95052750604721e-142,True,1.0948970611126867e-139,9.95360964647897e-141,True,True,True
GPT-5.4 Mini,b_d_review_count_100,7.759522980857443e-16,False,1.4277522284777696e-13,1.3861672121143392e-15,True,True,True
Phi-4 Mini,b_logp,3.404209097422544e-12,True,6.26374473925748e-10,5.592629231479893e-12,True,True,True
Phi-4 Mini,b_linp,2.4658806827664658e-12,False,4.537220456290297e-10,4.124745869354815e-12,True,True,True
Phi-4 Mini,b_d_stars,1.4716898222471773e-23,False,2.7079092729348064e-21,2.9433796444943546e-23,True,True,True
Phi-4 Mini,b_d_bed,0.0936560280431247,False,1.0,0.10703546062071394,False,False,False
Phi-4 Mini,b_d_cancel,9.968022492916252e-75,False,1.8341161386965905e-72,4.168445769764978e-74,True,True,True
Phi-4 Mini,b_d_breakfast,9.033518488671137e-34,False,1.6621674019154892e-31,2.158658963526609e-33,True,True,True
Phi-4 Mini,b_d_review_score,2.564857330061728e-122,True,4.7193374873135795e-120,2.3596687436567897e-121,True,True,True
Phi-4 Mini,b_d_review_count_100,4.210673293856766e-05,False,0.007747638860696449,5.9142281379362204e-05,True,True,True
GPT-4.1 Mini,b_logp,5.106591299496375e-161,True,9.39612799107333e-159,4.698063995536665e-159,True,True,True
GPT-4.1 Mini,b_linp,3.394620015955006e-137,False,6.246100829357211e-135,4.164067219571473e-136,True,True,True
GPT-4.1 Mini,b_d_stars,2.503072855220392e-26,False,4.605654053605521e-24,5.293855234029335e-26,True,True,True
GPT-4.1 Mini,b_d_bed,7.613648012860421e-18,False,1.4009112343663174e-15,1.4009112343663174e-17,True,True,True
GPT-4.1 Mini,b_d_cancel,1.8965334772600434e-101,False,3.48962159815848e-99,1.342162153137877e-100,True,True,True
GPT-4.1 Mini,b_d_breakfast,1.7575830511126502e-58,False,3.2339528140472764e-56,5.988801507494956e-58,True,True,True
GPT-4.1 Mini,b_d_review_score,2.113501524755936e-89,True,3.888842805550922e-87,1.2544654211454587e-88,True,True,True
GPT-4.1 Mini,b_d_review_count_100,5.6243107934539206e-05,False,0.010348731859955215,7.839948378753951e-05,True,True,True
Gemma3 27B,b_logp,4.502771490860819e-145,True,8.285099543183906e-143,1.0356374428979883e-143,True,True,True
Gemma3 27B,b_linp,2.4827848501708334e-137,False,4.5683241243143335e-135,3.263088660224524e-136,True,True,True
Gemma3 27B,b_d_stars,1.812177962075801e-43,False,3.334407450219474e-41,4.7634392145992484e-43,True,True,True
