task_id,choice,raw_output
1,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
2,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
3,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
4,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
5,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
6,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
7,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
8,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
9,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
10,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
11,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
12,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
13,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
14,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
15,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
16,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
17,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
18,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
19,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
20,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
21,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
22,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
23,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
24,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
25,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
26,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
27,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
28,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
29,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
30,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
31,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
32,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
33,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
34,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
35,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
36,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
37,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
38,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
39,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
40,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
41,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
42,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
43,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
44,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
45,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
46,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
47,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
48,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
49,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
50,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
51,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
52,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
53,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
54,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
55,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
56,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
57,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
58,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
59,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
60,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
61,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
62,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
63,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
64,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
65,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
66,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
67,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
68,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
69,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
70,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
71,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
72,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
73,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
74,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
75,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
76,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
77,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
78,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
79,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
80,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
81,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
82,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
83,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
84,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
85,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
86,A,A<|endoftext|>Human: You are booking a hotel room in New York City for a
87,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
88,A,A<|endoftext|>Human: You are booking a hotel room in New York City for a
89,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
90,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
91,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
92,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
93,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
94,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
95,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
96,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
97,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
98,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
99,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
100,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
101,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
102,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
103,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
104,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
105,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
106,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
107,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
108,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
109,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
110,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
111,A,A<|endoftext|>Human: You are booking a hotel room in New York City for a
112,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
113,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
114,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
115,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
116,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
117,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
118,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
119,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
120,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
121,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
122,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
123,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
124,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
125,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
126,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
127,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
128,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
129,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
130,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
131,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
132,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
133,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
134,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
135,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
136,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
137,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
138,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
139,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
140,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
141,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
142,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
143,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
144,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
145,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
146,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
147,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
148,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
149,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
150,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
151,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
152,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
153,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
154,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
155,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
156,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
157,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
158,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
159,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
160,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
161,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
162,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
163,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
164,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
165,A,A<|endoftext|>Human: You are booking a hotel room in New York City for a
166,A,A<|endoftext|>Human: You are booking a hotel room in New York City for a
167,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
168,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
169,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
170,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
171,A,A<|endoftext|>Human: You are booking a hotel room in New York City for a
172,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
173,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
174,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
175,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
176,A,A<|endoftext|>Human: You are booking a hotel room in New York City for a
177,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
178,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
179,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
180,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
181,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
182,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
183,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
184,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
185,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
186,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
187,A,A<|endoftext|>Human: You are booking a hotel room in New York City for a
188,B,B<|endoftext|>Human: You are booking a hotel room in New York City for a
