task_id,choice,raw_output
10001,A,B
10002,B,A
10003,A,B
10004,B,A
10005,A,B
10006,A,B
10007,A,B
10008,B,A
10009,A,B
10010,B,A
10011,A,B
10012,B,A
10013,A,B
10014,A,B
10015,A,B
10016,A,B
10017,A,B
10018,A,B
10019,B,A
10020,B,A
10021,A,B
10022,B,A
10023,A,B
10024,A,B
10025,A,B
10026,A,B
10027,B,A
10028,B,A
10029,A,B
10030,A,B
10031,B,A
10032,A,B
10033,B,A
10034,A,B
10035,B,A
10036,B,A
10037,A,"B

Just because the price is lower, but the rating is lower and the"
10038,B,A
10039,A,B
10040,A,B
10041,B,A
10042,B,A
10043,B,A
10044,A,B
10045,B,A
10046,B,A
10047,B,A
10048,B,A
10049,A,B
10050,A,B
10051,A,B
10052,B,A
10053,A,B
10054,A,B
10055,A,B
10056,A,B
10057,A,B
10058,A,B
10059,A,B
10060,B,A
10061,A,B
10062,A,B
10063,A,B
10064,A,B
10065,B,A
10066,B,A
10067,B,A
10068,B,A
10069,B,A
10070,B,A
10071,B,A
10072,A,B
10073,A,B
10074,A,B
10075,A,B
10076,A,B
10077,A,B
10078,B,A
10079,B,A
10080,A,B
10081,A,B
10082,A,B
10083,B,A
10084,B,A
10085,B,A
10086,B,A
10087,B,A
10088,B,A
10089,B,A
10090,B,A
10091,B,A
10092,A,B
10093,B,A
10094,A,B
10095,B,A
10096,A,B
10097,A,B
10098,A,B
10099,A,B
10100,A,B
10101,A,B
10102,A,B
10103,A,B
10104,B,A
10105,B,A
10106,B,A
10107,A,B
10108,A,B
10109,B,A
10110,B,A
10111,A,B
10112,B,A
10113,B,A
10114,A,B
10115,A,B
10116,A,B
10117,B,A
10118,A,B
10119,A,B
10120,A,B
10121,B,A
10122,B,A
10123,B,A
10124,A,B
10125,B,A
10126,B,A
10127,B,A
10128,B,A
10129,B,A
10130,B,A
10131,B,A
10132,B,A
10133,B,A
10134,B,A
10135,A,B
10136,B,A
10137,B,A
10138,B,A
10139,B,A
10140,A,B
10141,B,A
10142,B,A
10143,B,A
10144,B,A
10145,B,A
10146,B,A
10147,B,A
10148,B,A
10149,B,A
10150,B,A
10151,B,A
10152,B,A
10153,A,B
10154,B,A
10155,B,A
10156,B,A
10157,A,B
10158,B,A
10159,A,B
10160,A,B
10161,B,A
10162,A,B
10163,A,B
10164,A,B
10165,B,A
10166,B,A
10167,A,B
10168,B,A
10169,B,A
10170,B,A
10171,B,A
10172,A,B
10173,B,A
10174,A,B
10175,B,A
10176,A,B
10177,B,A
10178,B,A
10179,B,A
10180,B,A
10181,B,A
10182,B,A
10183,A,B
10184,A,B
10185,B,A
10186,B,A
10187,A,B
10188,B,A
10189,A,B
10190,A,B
10191,A,B
10192,A,B
10193,B,A
10194,A,B
10195,B,A
10196,A,B
10197,A,B
10198,B,A
10199,B,A
10200,B,A
10201,A,B
10202,A,B
10203,B,A
10204,B,A
10205,B,A
10206,A,B
10207,B,A
10208,B,A
10209,A,B
10210,B,A
10211,A,B
10212,A,B
10213,A,B
10214,B,A
10215,B,A
10216,B,A
10217,B,A
10218,B,A
10219,B,A
10220,B,A
10221,B,A
10222,A,B
10223,A,B
10224,B,A
10225,B,A
10226,A,B
10227,A,B
10228,B,A
10229,A,B
10230,A,B
10231,A,B
10232,A,B
10233,B,A
10234,B,A
10235,B,A
10236,B,A
10237,B,A
10238,B,A
10239,A,B
10240,A,B
10241,B,A
10242,B,A
10243,B,A
10244,B,A
10245,B,A
10246,B,A
10247,B,A
10248,A,B
10249,B,A
10250,B,A
10251,B,A
10252,A,B
10253,B,A
10254,B,A
10255,A,B
10256,A,B
10257,B,A
10258,B,A
10259,A,B
10260,A,B
10261,B,A
10262,B,A
10263,B,A
10264,A,B
10265,B,A
10266,B,A
10267,A,B
10268,B,A
10269,B,A
10270,A,B
10271,A,B
10272,A,B
10273,B,A
10274,B,A
10275,B,A
10276,B,A
10277,B,A
10278,A,B
10279,A,B
10280,B,A
10281,B,A
10282,A,B
10283,B,A
10284,B,A
10285,B,A
10286,B,A
10287,B,A
10288,B,A
10289,B,A
10290,B,A
10291,B,A
10292,A,B
10293,A,B
10294,B,A
10295,B,A
10296,B,A
10297,A,B
10298,B,A
10299,A,B
10300,A,B
10301,A,B
10302,A,B
10303,A,B
10304,B,A
10305,A,B
10306,A,B
10307,A,B
10308,A,B
10309,A,B
10310,B,A
10311,A,B
10312,B,A
10313,A,B
10314,B,A
10315,A,B
10316,B,A
10317,A,B
10318,A,B
10319,A,B
10320,B,A
10321,A,B
10322,A,B
10323,A,B
10324,B,A
10325,A,B
10326,B,A
10327,B,A
10328,A,B
10329,B,A
10330,A,B
10331,A,B
10332,B,A
10333,A,B
10334,A,B
10335,A,B
10336,A,B
10337,A,B
10338,B,A
10339,A,B
10340,A,B
10341,B,A
10342,B,A
10343,B,A
10344,B,A
10345,B,A
10346,B,A
10347,B,A
10348,B,A
10349,A,B
10350,B,A
10351,A,B
10352,B,A
10353,B,A
10354,B,A
10355,A,B
10356,A,B
10357,A,B
10358,A,B
10359,B,A
10360,B,A
10361,A,B
10362,B,A
10363,B,A
10364,B,A
10365,A,B
10366,B,A
10367,B,A
10368,B,A
10369,B,A
10370,B,A
10371,B,A
10372,A,B
10373,B,A
10374,B,A
10375,A,B
10376,B,A
10377,B,A
10378,B,A
10379,B,A
10380,B,A
10381,B,A
10382,B,A
10383,B,A
10384,B,A
10385,A,B
10386,B,A
10387,B,A
10388,A,B
10389,B,A
10390,B,A
10391,B,A
10392,B,A
10393,B,A
10394,B,A
10395,A,B
10396,A,B
10397,B,A
10398,A,B
10399,A,B
10400,A,B
10401,B,A
10402,A,B
10403,A,B
10404,B,A
10405,B,A
10406,B,A
10407,B,A
10408,B,A
10409,B,A
10410,A,B
10411,B,A
10412,B,A
10413,A,B
10414,B,A
10415,A,B
10416,A,B
10417,B,A
10418,A,B
10419,B,A
10420,B,A
10421,A,B
10422,A,B
10423,A,B
10424,A,B
10425,A,B
10426,A,B
10427,B,A
10428,A,B
10429,A,B
10430,A,B
10431,B,A
10432,A,B
10433,A,B
10434,B,A
10435,B,A
10436,A,B
10437,B,A
10438,B,A
10439,B,A
10440,B,A
10441,B,A
10442,B,A
10443,A,B
10444,A,B
10445,B,A
10446,A,B
10447,B,A
10448,B,A
10449,A,B
10450,B,A
10451,A,B
10452,B,A
10453,B,A
10454,A,B
10455,B,A
10456,B,A
10457,B,A
10458,B,A
10459,B,A
10460,B,A
10461,A,B
10462,A,B
10463,A,B
10464,A,B
10465,B,A
10466,A,B
10467,A,B
10468,A,B
10469,B,A
10470,B,A
10471,B,A
10472,B,A
10473,B,A
10474,A,B
10475,B,A
10476,B,A
10477,B,A
10478,A,B
10479,B,A
10480,B,A
10481,A,B
10482,A,B
10483,A,B
10484,A,B
10485,A,B
10486,B,A
10487,A,B
10488,A,B
10489,B,A
10490,A,B
10491,A,B
10492,A,B
10493,A,B
10494,A,B
10495,A,B
10496,A,B
10497,A,B
10498,A,B
10499,B,A
10500,B,A
10501,A,B
10502,A,B
10503,A,B
10504,A,B
10505,B,A
10506,A,"B

You choose option B."
10507,B,A
10508,B,A
10509,B,A
10510,B,A
10511,B,A
10512,A,B
10513,B,A
10514,A,B
10515,B,A
10516,B,A
10517,B,A
10518,A,B
10519,B,A
10520,A,B
10521,A,B
10522,B,A
10523,A,B
10524,B,A
10525,B,A
10526,A,B
10527,B,A
10528,A,B
10529,B,A
10530,A,B
10531,B,A
10532,B,A
10533,B,A
10534,B,A
10535,A,B
10536,A,B
10537,A,B
10538,A,B
10539,A,B
10540,A,B
10541,B,A
10542,B,A
10543,B,A
10544,B,A
10545,B,A
10546,A,B
10547,A,B
10548,B,A
10549,B,A
10550,A,B
10551,B,A
10552,B,A
10553,B,A
10554,B,A
10555,B,A
10556,B,A
10557,A,B
10558,A,B
10559,B,A
10560,A,B
10561,A,B
10562,A,B
10563,B,A
10564,A,B
10565,B,A
10566,A,B
10567,A,B
10568,A,B
10569,B,A
10570,B,A
10571,B,A
10572,A,B
10573,A,B
10574,A,B
10575,A,B
10576,A,B
10577,B,A
10578,B,A
10579,A,B
10580,B,A
10581,A,B
10582,B,A
10583,A,B
10584,A,B
10585,A,B
10586,B,A
10587,A,B
10588,B,A
10589,A,B
10590,A,B
10591,A,B
10592,A,B
10593,A,B
10594,A,B
10595,A,B
10596,A,B
10597,B,A
10598,A,B
10599,A,B
10600,B,A
10601,B,A
10602,B,A
10603,A,B
10604,A,B
10605,A,B
10606,A,B
10607,B,A
10608,B,A
10609,B,A
10610,A,B
10611,B,A
10612,B,A
10613,B,A
10614,A,B
10615,A,B
10616,B,A
10617,B,A
10618,B,A
10619,A,B
10620,B,A
10621,A,B
10622,A,B
10623,B,A
10624,A,B
10625,A,B
10626,B,A
10627,A,B
10628,A,B
10629,B,A
10630,B,A
10631,B,A
10632,A,B
10633,B,A
10634,B,A
10635,B,A
10636,A,B
10637,A,B
10638,A,B
10639,B,A
10640,B,A
10641,B,A
10642,B,A
10643,A,B
10644,A,B
10645,B,A
10646,B,A
10647,B,A
10648,B,A
10649,A,B
10650,A,B
10651,B,A
10652,A,B
10653,A,B
10654,A,B
10655,A,B
10656,B,A
10657,A,B
10658,A,B
10659,A,B
10660,A,B
10661,B,A
10662,B,A
10663,A,B
10664,B,A
10665,A,B
10666,A,B
10667,B,A
10668,B,A
10669,A,B
10670,A,B
10671,A,B
10672,B,A
10673,A,B
10674,B,A
10675,A,B
10676,A,B
10677,A,B
10678,A,B
10679,A,B
10680,A,B
10681,A,B
10682,B,A
10683,B,A
10684,A,B
10685,B,A
10686,B,A
10687,B,A
10688,B,A
10689,B,A
10690,B,A
10691,B,A
10692,A,B
10693,A,B
10694,A,B
10695,B,A
10696,A,B
10697,B,A
10698,B,A
10699,A,B
10700,A,B
10701,A,B
10702,A,B
10703,A,B
10704,A,B
10705,B,A
10706,B,A
10707,A,B
10708,B,A
10709,A,B
10710,A,B
10711,B,A
10712,A,B
10713,A,B
10714,B,A
10715,B,A
10716,A,B
10717,B,A
10718,A,B
10719,B,A
10720,B,A
10721,B,A
10722,B,A
10723,A,B
10724,A,B
10725,B,A
10726,B,A
10727,B,A
10728,B,A
10729,B,A
10730,A,B
10731,A,B
10732,B,A
10733,A,B
10734,B,A
10735,A,B
10736,A,B
10737,A,"B

I would choose option B."
10738,B,A
10739,A,B
10740,A,B
10741,B,A
10742,B,A
10743,A,B
10744,A,B
10745,A,B
10746,A,B
10747,A,B
10748,B,A
10749,A,B
10750,B,A
10751,B,A
10752,B,A
10753,B,A
10754,A,B
10755,A,B
10756,A,B
10757,B,A
10758,B,A
10759,A,B
10760,A,B
10761,A,B
10762,B,A
10763,A,B
10764,A,B
10765,B,A
10766,A,B
10767,A,B
10768,A,B
10769,A,B
10770,A,B
10771,A,B
10772,A,B
10773,A,B
10774,B,A
10775,B,A
10776,B,A
10777,B,A
10778,B,A
10779,B,A
10780,B,A
10781,B,A
10782,B,A
10783,A,B
10784,B,A
10785,B,A
10786,A,B
10787,B,A
10788,B,A
10789,A,B
10790,B,A
10791,B,A
10792,B,A
10793,B,A
10794,B,A
10795,B,A
10796,A,B
10797,B,A
10798,B,A
10799,B,A
10800,B,A
10801,A,B
10802,A,B
10803,A,B
10804,A,B
10805,A,B
10806,A,B
10807,A,B
10808,A,B
10809,A,B
10810,B,A
10811,B,A
10812,B,A
10813,A,B
10814,B,A
10815,A,B
10816,A,B
10817,A,B
10818,A,B
10819,A,B
10820,B,A
10821,B,A
10822,A,B
10823,A,B
10824,A,B
10825,B,A
10826,B,A
10827,B,A
10828,B,A
10829,B,A
10830,B,A
10831,A,B
10832,A,B
10833,B,A
10834,B,A
10835,A,B
10836,B,A
10837,A,B
10838,A,B
10839,A,B
10840,A,B
10841,A,B
10842,B,A
10843,A,B
10844,B,A
10845,B,A
10846,B,A
10847,B,A
10848,B,A
10849,A,B
10850,B,A
10851,B,A
10852,B,A
10853,B,A
10854,B,A
10855,B,A
10856,B,A
10857,B,A
10858,A,B
10859,B,A
10860,A,B
10861,A,B
10862,B,A
10863,B,A
10864,B,A
10865,A,B
10866,A,B
10867,A,B
10868,A,B
10869,A,B
10870,A,B
10871,A,B
10872,A,B
10873,A,B
10874,B,A
10875,B,A
10876,B,A
10877,B,A
10878,A,B
10879,B,A
10880,B,A
10881,A,B
10882,A,B
10883,A,B
10884,B,A
10885,B,A
10886,A,B
10887,A,B
10888,B,A
10889,A,B
10890,B,A
10891,B,A
10892,B,A
10893,B,A
10894,B,A
10895,B,A
10896,A,B
10897,A,B
10898,A,B
10899,B,A
10900,A,B
10901,B,A
10902,B,A
10903,B,A
10904,B,A
10905,A,B
10906,A,B
10907,B,A
10908,B,A
10909,A,B
10910,A,B
10911,B,A
10912,A,B
10913,A,B
10914,B,A
10915,A,B
10916,A,B
10917,A,"B

Reason: Option B has a higher star rating (4 stars) and"
10918,B,A
10919,A,B
10920,B,A
10921,B,A
10922,B,A
10923,B,A
10924,B,"A

You are choosing between two options for a one-night stay in New York"
10925,B,A
10926,A,B
10927,A,B
10928,B,A
10929,B,A
10930,A,B
10931,A,B
10932,B,"A

You choose **A**."
10933,B,A
10934,A,B
10935,A,B
10936,B,A
10937,A,B
10938,A,B
10939,A,B
10940,B,A
10941,A,B
10942,B,A
10943,B,A
10944,A,B
10945,A,B
10946,B,A
10947,A,B
10948,B,A
10949,B,A
10950,A,B
10951,A,B
10952,B,A
10953,A,B
10954,A,B
10955,B,A
10956,A,B
10957,B,A
10958,A,B
10959,A,B
10960,A,B
10961,A,B
10962,A,B
10963,B,A
10964,A,B
10965,B,A
10966,B,A
10967,B,A
10968,B,A
10969,A,B
10970,A,B
10971,A,B
10972,B,A
10973,B,A
10974,B,A
10975,A,B
10976,A,B
10977,A,B
10978,B,A
10979,A,B
10980,A,B
10981,A,B
10982,A,B
10983,B,A
10984,B,A
10985,A,B
10986,A,B
10987,A,B
10988,A,B
10989,A,B
10990,A,B
10991,A,B
10992,A,B
10993,A,B
10994,B,A
10995,A,B
10996,A,B
10997,A,B
10998,A,B
10999,A,B
11000,A,B
11001,B,A
11002,B,A
11003,A,B
11004,A,B
11005,A,B
11006,B,A
11007,A,B
11008,B,A
11009,A,B
11010,B,A
11011,B,A
11012,A,B
11013,B,A
11014,A,B
11015,B,A
11016,A,B
11017,A,B
11018,A,B
11019,A,B
11020,A,B
11021,B,A
11022,B,A
11023,B,A
11024,B,A
11025,A,B
11026,A,B
11027,A,B
11028,A,B
11029,A,B
11030,A,B
11031,A,B
11032,B,A
11033,A,B
11034,A,B
11035,A,B
11036,B,A
11037,A,B
11038,B,A
11039,B,A
11040,B,A
11041,A,B
11042,B,A
11043,B,A
11044,A,B
11045,A,B
11046,A,B
11047,A,B
11048,B,A
11049,A,B
11050,A,B
11051,B,A
11052,A,B
11053,B,A
11054,A,B
11055,A,B
11056,B,A
11057,A,B
11058,B,A
11059,A,B
11060,B,A
11061,B,A
11062,A,B
11063,B,A
11064,B,A
11065,B,A
11066,B,A
11067,A,B
11068,B,A
11069,A,B
11070,A,B
11071,A,B
11072,B,A
11073,A,B
11074,A,B
11075,A,B
11076,A,B
11077,A,B
11078,B,A
11079,A,B
11080,A,B
11081,B,A
11082,B,A
11083,B,A
11084,B,A
11085,A,B
11086,A,B
11087,A,B
11088,A,B
11089,B,A
11090,B,A
11091,A,B
11092,A,B
11093,A,B
11094,B,A
11095,B,A
11096,A,B
11097,A,B
11098,B,A
11099,A,B
11100,B,A
11101,B,A
11102,A,B
11103,A,B
11104,B,A
11105,A,B
11106,B,A
11107,A,B
11108,A,B
11109,A,B
